Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:0gWQBwxwQRum86Rx4DaDHL,Forever,"spotify:artist:5ttgIeUVka6FLyi00Uu5h8, spotify:artist:4i8u1FZVapjZBcCyyrAnU3","Jauz, Micah Martin",spotify:album:3NkRNGqhU0WONr1ob77DKD,Forever,"spotify:artist:5ttgIeUVka6FLyi00Uu5h8, spotify:artist:4i8u1FZVapjZBcCyyrAnU3","Jauz, Micah Martin",7/2/2021,https://i.scdn.co/image/ab67616d0000b273d9d63f5a6b5c1c704070b32e,1,1,205241,https://p.scdn.co/mp3-preview/37da60224038eb1779a0c93d6086da6a6da626b2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,,2022-02-16T02:43:50Z
spotify:track:326r3WEju0rRYi6iLcpq0R,Lava Run,spotify:artist:4eujb0S8BP4Oy9suTA04mE,Gydra,spotify:album:5IRd6BHN9Vim3syALo47CM,Snake Monastery,"spotify:artist:4eujb0S8BP4Oy9suTA04mE, spotify:artist:1Suznpi9kPrb7KCNIhvUI6, spotify:artist:1a9tzNkt3whGzmgKs7EvpD","Gydra, IHR, Nuvertal",10/23/2020,https://i.scdn.co/image/ab67616d0000b273c92e8058e630cea49f217280,1,2,220689,https://p.scdn.co/mp3-preview/761fa9a481912b5d63e2af7ddc2d2d66f793e162?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,54,,2022-02-11T08:10:19Z
spotify:track:0x66nbDEEZtWx4qJdILucR,Psycho,"spotify:artist:2Sa4c9qKaI7ILJs8D6gUCh, spotify:artist:16r05v3b8WwDS2TYRSlBCm","Ghastly, MOONBOY",spotify:album:0rIW57gkphmNUkwgSVzDzD,Psycho,"spotify:artist:2Sa4c9qKaI7ILJs8D6gUCh, spotify:artist:16r05v3b8WwDS2TYRSlBCm","Ghastly, MOONBOY",4/19/2019,https://i.scdn.co/image/ab67616d0000b27391793ef1ddcb3a8e3ae8b6ef,1,1,260172,https://p.scdn.co/mp3-preview/804e084e9e080a2cf41655d55365f1b41169a063?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,48,,2022-02-11T08:08:09Z
spotify:track:2NtrNJtbcL3gxgmcjjTtuB,Ongedierte Van De Nacht,spotify:artist:0WbAxASsYdodSlqwserDAW,Gunz For Hire,spotify:album:0dyLERC5Qwc7y9auRb9xyY,Ongedierte Van De Nacht,spotify:artist:0WbAxASsYdodSlqwserDAW,Gunz For Hire,9/23/2021,https://i.scdn.co/image/ab67616d0000b273a832ada71ded8d973ccce771,1,1,241894,https://p.scdn.co/mp3-preview/b97ce75476fe8ce12ff660ac1740dcf0dabee5c2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,57,,2022-02-11T08:02:21Z
spotify:track:6iBL6TOzsO75Yz0cG1MO0o,Wanna Play?,spotify:artist:2iRqqPkOyIvvb7qFZN1Onz,The Prophet,spotify:album:4jp7msyicuMV06txLOdvbF,Wanna Play?,spotify:artist:2iRqqPkOyIvvb7qFZN1Onz,The Prophet,5/22/2019,https://i.scdn.co/image/ab67616d0000b273fbec50dbcaea85a6954890a0,1,1,201451,https://p.scdn.co/mp3-preview/09f50866758734845ca561433d213b194099a601?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,68,,2022-02-11T07:56:41Z
spotify:track:3hE0qHC9sWZnp5Y6chtQPn,We Always Rise,"spotify:artist:2CTPZndAY5BwdgHk8AX0B7, spotify:artist:1RsU9zuGACUb1NGShiFpcP, spotify:artist:1wuQQfTDZhgNb4GJyhThUs","Dither, Deadly Guns, Warface",spotify:album:33BiyCywUTUYo5SI8XmleR,Masters Of Hardcore Magnum Opus (Chapter XLIII),spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,9/3/2021,https://i.scdn.co/image/ab67616d0000b273cbfc568d249b1aedc8b452ed,1,7,257462,https://p.scdn.co/mp3-preview/16e128136525070536e0e90bd66b0e14d57ae05f?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,22,,2022-02-11T07:54:40Z
spotify:track:07Z9zYCriYRsvkfaeWF83f,Lost In This World,spotify:artist:39B5R5tWbwQyHX4AitOU9U,Artifact,spotify:album:7dE3jyKaCl2dlnaicZrhvu,Lost In This World,spotify:artist:39B5R5tWbwQyHX4AitOU9U,Artifact,1/14/2022,https://i.scdn.co/image/ab67616d0000b27340537cc56095a92303429864,1,1,216375,https://p.scdn.co/mp3-preview/a272cb32d4e7dbf00bcdefd2cbf62c8e72b54a48?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,48,,2022-02-11T07:41:44Z
spotify:track:0yyCrUgEaqkeV7rXuAhTbD,Tantra,spotify:artist:74RET4rCZPTGzhsLjD0i3g,ATLiens,spotify:album:3tFcMGnWC1HXTp7YRLN8uf,Ghost Planet EP,spotify:artist:74RET4rCZPTGzhsLjD0i3g,ATLiens,7/24/2019,https://i.scdn.co/image/ab67616d0000b27393fb108246fa86eb615e2de6,1,5,160014,https://p.scdn.co/mp3-preview/1845231d91af4ef3d69e106e1a04a188e8ef020e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,49,,2022-02-05T05:17:38Z
spotify:track:7M5zDEAy4mKkiLtA3Dnva1,DOMINATION - SEFA REMIX,"spotify:artist:2lpFs8QJyIeVDb2Sq4vZYi, spotify:artist:0caJEGgVuXuSHhhrMCmlkI","Rooler, Sefa",spotify:album:5SUPqVDFodU6MqhY9GCrHf,STRAIGHT OUTTA FUTURE,spotify:artist:2lpFs8QJyIeVDb2Sq4vZYi,Rooler,11/12/2019,https://i.scdn.co/image/04716fb0b4884f349069f73966045bf0959c676c,1,26,126015,https://p.scdn.co/mp3-preview/63b3b50fe81ece90368a0bb1008c00bde55432e4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,52,,2022-02-05T05:02:57Z
spotify:track:3Ck1XJMfv59dTJG0tBxq8p,Raver,"spotify:artist:16r05v3b8WwDS2TYRSlBCm, spotify:artist:5q575unhqHqVbBN60YfRnZ","MOONBOY, Kiwii",spotify:album:4kbTZAG87vDRww7mDSomL4,Raver,spotify:artist:16r05v3b8WwDS2TYRSlBCm,MOONBOY,9/27/2019,https://i.scdn.co/image/ab67616d0000b273b5b78f7368aefd8d19a5e3e4,1,1,262400,https://p.scdn.co/mp3-preview/542c1333aef9d72a25b5d561d4f11b65916bcdbd?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,34,,2022-01-31T15:54:57Z
spotify:track:3iDtphWASBHIjVEB8lWBqs,Cheatcode,"spotify:artist:0o9qzOHuHkGZ3xMFKpMFkC, spotify:artist:6Cqy862jSCV7qdNrCDqvNK, spotify:artist:54okLCsuAzwltG8zHECNpm","Black Tiger Sex Machine, Hairitage, Hyro The Hero",spotify:album:52PFrVESS61Ghel6SJtIFI,Cheatcode,"spotify:artist:0o9qzOHuHkGZ3xMFKpMFkC, spotify:artist:6Cqy862jSCV7qdNrCDqvNK, spotify:artist:54okLCsuAzwltG8zHECNpm","Black Tiger Sex Machine, Hairitage, Hyro The Hero",12/3/2021,https://i.scdn.co/image/ab67616d0000b273c3b490e7f1f9d7f204f69ff5,1,1,187000,https://p.scdn.co/mp3-preview/057fe5723e97e03f70a3233b3404369fe454883a?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,58,,2022-01-31T15:47:33Z
spotify:track:1BQEmsCgZQwm6iRztVPAOc,Heavy and Dark - Serum's VIP,"spotify:artist:4Gcl52gLCpuse5wZT8hDWa, spotify:artist:1OeYjH80o59axC1PYRV97m","MC Bassman, Serum",spotify:album:0y0rbZ1pjtN3Q9YFA9d7ty,VIP,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2/28/2019,https://i.scdn.co/image/ab67616d0000b2735d77a0f519c7a9b25e201df7,1,3,266139,https://p.scdn.co/mp3-preview/4a55db40b791a4458b62cadd9560e901c2621d80?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,40,,2022-01-31T15:46:43Z
spotify:track:6f7hGT8dkVxUcMP943ZRmD,From The Underground (Rave Core),spotify:artist:1RsU9zuGACUb1NGShiFpcP,Deadly Guns,spotify:album:3HX5w8ehEqbGsCk4x6mfZ9,From The Underground (Rave Core),spotify:artist:1RsU9zuGACUb1NGShiFpcP,Deadly Guns,10/29/2021,https://i.scdn.co/image/ab67616d0000b2735211a530386a5a5fbf02b573,1,1,234934,https://p.scdn.co/mp3-preview/733e3a220dd881556b45649613c05ace7579a808?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,50,,2022-01-31T15:46:06Z
spotify:track:1pLN8oyfGUc0RorKsyrWin,Scream For Mercy! - Sickmode & Avoc Remix,"spotify:artist:7Ecbym3UD6q848BAse6Qeb, spotify:artist:5PbgCU02dfdBCAzpOaNmYW, spotify:artist:6IHHgeANSAVdQM1l9zIlSn","Krowdexx, Sickmode, Avoc",spotify:album:21ntbmqXzR7rsliKAlhBNT,Gearbox Presents Lockdown,spotify:artist:32Eil9DTJeGj6fnhyXn9L6,Gearbox Digital,3/20/2020,https://i.scdn.co/image/ab67616d0000b2735e86b56785627a57a2328538,1,14,180000,https://p.scdn.co/mp3-preview/f0b15c56797e9667b72ac5ffdd4f5afc29be9cbd?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,51,,2022-01-31T15:45:36Z
spotify:track:30z90GlB9bSljubP3KQ10w,Villain,spotify:artist:6LiWlIUtgDUn83O8i2K2b2,Rawtek,spotify:album:1ypdUWRTkdNokgKmJaJpoG,Villain,spotify:artist:6LiWlIUtgDUn83O8i2K2b2,Rawtek,10/30/2020,https://i.scdn.co/image/ab67616d0000b273d4471ffe96225e7d1c9a1a0a,1,1,174400,https://p.scdn.co/mp3-preview/39372c0fb0194209cb30f47cd833000376396499?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,34,,2022-01-31T15:44:42Z
spotify:track:1o0xAaXY4nEaPdBGiLZdNb,Lost It - VIP,"spotify:artist:4FXGRMSHh2JjHxVwS8dhH1, spotify:artist:4EoSEUWlmLpYGHGNBoThiM","Virtual Riot, Pearl Andersson",spotify:album:5U55QyMo7704v7YPgqRjgC,Lost It,spotify:artist:4FXGRMSHh2JjHxVwS8dhH1,Virtual Riot,11/5/2019,https://i.scdn.co/image/ab67616d0000b273857177150b4d2a88e0188a8c,1,1,266322,https://p.scdn.co/mp3-preview/689307cbc3ffa8bba2a05d7176115f30577a5f6e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,52,,2021-12-20T23:58:30Z
spotify:track:08LKVScHdTYS9LfwWohVgR,Battlefields,spotify:artist:0ycHhPwPvoaO4VGzmMnXGq,Zomboy,spotify:album:2oGvype2gUOkpas1IPN2ZZ,Battlefields,spotify:artist:0ycHhPwPvoaO4VGzmMnXGq,Zomboy,1/24/2020,https://i.scdn.co/image/ab67616d0000b2733553b42c768fefb02b4587ab,1,1,222500,https://p.scdn.co/mp3-preview/88a43c76851e68dc77d220d3b30d687af702175e?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,50,,2021-12-20T23:53:26Z
spotify:track:1WxqEw5MBXAqZGnxqkQd54,Represent,spotify:artist:3QryVD03gGZOLQQXjy3EoA,Getter,spotify:album:5bdS8cpJiQ1GSfpVjgDK0n,Represent,spotify:artist:3QryVD03gGZOLQQXjy3EoA,Getter,2/12/2020,https://i.scdn.co/image/ab67616d0000b27375b38be19993b0dcf86cdc76,1,1,168000,https://p.scdn.co/mp3-preview/778659818a1bb570ac6a731737bea31413da4c1c?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,43,,2021-12-07T19:50:17Z
spotify:track:6anC0hqnhvcT38iSRKZAd0,Freaky (feat. Whookilledkenny) - VIP,"spotify:artist:2Zxy5LwBatI5kw4uponwHQ, spotify:artist:1sRcBArziwSqUe89ylNbXZ","Riot Ten, Whookilledkenny",spotify:album:3TfKlTwnkajtrcEV85dOqn,Hype Or Die: Nightmares (Deluxe),spotify:artist:2Zxy5LwBatI5kw4uponwHQ,Riot Ten,10/31/2019,https://i.scdn.co/image/ab67616d0000b273f4654627b68dc85dc9e3a5ae,1,8,167000,https://p.scdn.co/mp3-preview/05b26a0a794d4bcf039b1606297e6362014b491c?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,10,,2021-11-10T23:45:12Z
spotify:track:2LD4viV763nwUaJEM2b6cJ,Freaky (feat. Whookilledkenny) - VIP,"spotify:artist:2Zxy5LwBatI5kw4uponwHQ, spotify:artist:1sRcBArziwSqUe89ylNbXZ","Riot Ten, Whookilledkenny",spotify:album:5nbF5RuC59FY7yGOkCjuum,Hype Or Die: Nightmares,spotify:artist:2Zxy5LwBatI5kw4uponwHQ,Riot Ten,9/13/2019,https://i.scdn.co/image/ab67616d0000b273dabe0081a1e4ecc4bb3e3efa,1,8,167000,https://p.scdn.co/mp3-preview/05b26a0a794d4bcf039b1606297e6362014b491c?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,19,,2021-11-07T03:14:09Z
spotify:track:3XuCZp3yFGaIxhqGToihix,Wolves,spotify:artist:27Z5l2Kfy1IaYZMg5INWqO,Zatox,spotify:album:4tvCfydp5bEN8PvAQts6dZ,Past. Present.,spotify:artist:27Z5l2Kfy1IaYZMg5INWqO,Zatox,10/12/2020,https://i.scdn.co/image/ab67616d0000b273c606c8d7706b15ea523ada89,1,6,270000,https://p.scdn.co/mp3-preview/d7d0f1de0e9d6f52b694ddeeb16d317830fa6da3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,49,,2021-11-07T03:06:44Z
spotify:track:2Ur9ianheHtBR4wIWqxEBK,Wanna Play? - 270 BPM Terror Edit,spotify:artist:2iRqqPkOyIvvb7qFZN1Onz,The Prophet,spotify:album:6XHhWWb2U1rJbafGI7oaR3,Wanna Play? (270 BPM Terror Edit),spotify:artist:2iRqqPkOyIvvb7qFZN1Onz,The Prophet,7/31/2020,https://i.scdn.co/image/ab67616d0000b273617b93d55770ba5bd60cb014,1,1,108125,https://p.scdn.co/mp3-preview/281a158a4503c3ff6a3d0bff3666c173dc450998?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,49,,2021-09-27T14:33:17Z
